rank,title,rating,votes,year,minutes,genre,gross
1,Ramayana: The Legend of Prince Rama,9.2,"7,549",1993,97.0,"Animation, Action, Adventure",
2,Spirited Away,8.6,"756,112",2001,125.0,"Animation, Adventure, Family",$10.06M
3,Meiji Tokyo Renka Movie: Yumihari no Serenade,8.5,39,2015,60.0,"Animation, Fantasy, Romance",
4,"Natsu e no tunnel, Sayonara no deguchi",8.5,23,2022,83.0,Animation,
5,Attack on Titan: Chronicle,8.5,"10,421",2020,122.0,"Animation, Action, Adventure",
6,Gintama: The Final,8.5,"2,381",2021,104.0,"Animation, Action, Comedy",
7,Grave of the Fireflies,8.5,"275,743",1988,89.0,"Animation, Drama, War",
8,Attack on Titan: The Roar of Awakening,8.4,"5,376",2018,120.0,"Animation, Action, Fantasy",
9,Your Name.,8.4,"265,332",2016,106.0,"Animation, Drama, Fantasy",$5.02M
10,Princess Mononoke,8.4,"392,732",1997,134.0,"Animation, Action, Adventure",$2.38M
11,Fresh Precure!,8.3,32,2009,,"Animation, Action, Comedy",
12,Gintama the Movie: The Final Chapter - Be Forever Yorozuya,8.3,"2,711",2013,110.0,"Animation, Action, Comedy",
13,Gaiking II,8.3,23,2011,120.0,Animation,
14,Precure Allstars DX,8.3,88,2009,,Animation,
15,From the Apennines to the Andes: The Movie,8.3,30,1980,107.0,"Animation, Adventure, Drama",
16,Conan the Future Boy: The Big Giant Robot's Resurrection,8.3,657,1984,49.0,"Animation, Adventure, Family",
17,Gekijouban Shimajirou no wao!: Shimajirou to kujira no uta,8.2,22,2014,,"Animation, Adventure, Family",
18,Magnetic Rose,8.2,"2,677",1995,45.0,"Animation, Drama, Horror",
19,Demon Slayer the Movie: Mugen Train,8.2,"57,328",2020,117.0,"Animation, Action, Adventure",$47.70M
20,Rascal Does Not Dream of a Dreaming Girl,8.2,"4,794",2019,89.0,"Animation, Drama, Family",
21,Howl's Moving Castle,8.2,"393,001",2004,119.0,"Animation, Adventure, Family",$4.71M
22,Makoto-chan,8.2,49,1980,85.0,Animation,
23,Tistou the Green Thumb,8.1,30,1990,75.0,Animation,
24,A Silent Voice: The Movie,8.1,"81,298",2016,130.0,"Animation, Drama",
25,Wolf Children,8.1,"45,159",2012,117.0,"Animation, Drama, Family",
26,Legend of the Galactic Heroes: Die Neue These - Stellar War 3,8.1,44,2019,93.0,"Animation, Action, Drama",
27,Shoujo Kageki Revue Starlight: Rondo Rondo Rondo,8.1,43,2020,119.0,"Animation, Drama, Music",
28,Girls und Panzer Compilation Movie,8.1,30,2018,122.0,"Animation, Action, Comedy",
29,Made in Abyss: Dawn of the Deep Soul,8.1,"3,899",2020,113.0,"Animation, Adventure, Drama",
30,My Neighbor Totoro,8.1,"337,655",1988,86.0,"Animation, Comedy, Family",$1.11M
31,Zoku Owarimonogatari,8.0,827,2018,148.0,"Animation, Fantasy",
32,Fate/stay night [Heaven's Feel] II. lost butterfly,8.0,"2,471",2019,117.0,"Animation, Action, Adventure",
33,I Want to Eat Your Pancreas,8.0,"17,152",2018,109.0,"Animation, Drama, Family",$0.28M
34,Mobile Suit Gundam: The Origin III - Dawn of Rebellion,8.0,495,2016,68.0,"Animation, Action, Drama",
35,Black Butler: Book of Murder,8.0,"1,085",2014,116.0,"Animation, Adventure, Crime",
36,Kizumonogatari Part 3: Reiketsu,8.0,"2,711",2017,83.0,"Animation, Action, Drama",
37,Slam Dunk: Zenkoku Seiha da! Sakuragi Hanamichi,8.0,449,1994,45.0,"Animation, Comedy, Drama",
38,Deadstar the Movie,8.0,10,2014,63.0,Animation,
39,The Tale of The Princess Kaguya,8.0,"47,044",2013,137.0,"Animation, Drama, Family",$1.51M
40,Evangelion: 3.0+1.01 Thrice Upon a Time,8.0,"10,350",2021,154.0,"Animation, Action, Drama",
41,Puella Magi Madoka Magica the Movie Part 2: Eternal,8.0,"1,530",2012,109.0,"Animation, Fantasy, Mystery",$0.06M
42,The Disappearance of Haruhi Suzumiya,8.0,"7,368",2010,162.0,"Animation, Drama, Family",
43,The Quintessential Quintuplets Movie,8.0,485,2022,136.0,"Animation, Comedy, Drama",
44,Eiga Yurukyan,8.0,50,2022,120.0,"Animation, Adventure, Comedy",
45,Gurren Lagann the Movie: The Lights in the Sky are Stars,8.0,"1,060",2009,126.0,"Animation, Action, Drama",
46,Revue Starlight the Movie,8.0,124,2021,120.0,"Animation, Action, Drama",
47,The Garden of Sinners: Paradox Spiral,8.0,"1,857",2008,114.0,"Animation, Action, Crime",
48,Neon Genesis Evangelion: The End of Evangelion,8.0,"55,028",1997,87.0,"Animation, Action, Drama",
49,Perfect Blue,8.0,"76,780",1997,81.0,"Animation, Crime, Drama",$0.78M
50,Akira,8.0,"186,597",1988,124.0,"Animation, Action, Drama",$0.55M
51,Castle in the Sky,8.0,"166,679",1986,125.0,"Animation, Adventure, Family",
52,Nausicaä of the Valley of the Wind,8.0,"169,469",1984,117.0,"Animation, Adventure, Sci-Fi",$0.50M
53,Barefoot Gen,8.0,"8,065",1983,83.0,"Animation, Biography, Drama",
54,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,7.9,"4,081",2019,90.0,"Animation, Action, Adventure",
